215296F8-D7F6-415D-89C1-BA14BC13AC2A	[Выплаты АСП]->[Процессы]->[(х) - Выборочное закрытие месяца]->{Добавить заявление в журнал}	{          if (context.SelectedDocumentId == null) return;        var CloseMonthItemDefId = new Guid	43E9255D-31EB-42A5-BC68-F70F3745E4BA	1	1	1	2601
4AA281FB-B40B-418B-8BE1-468649EEB925	[Выплаты АСП]->[Процессы]->[(х) - Выборочное закрытие месяца]->{Обработать и сохранить}	{  /*    context.Documents.Save(context.CurrentDocument);            var assignedAppList = (List<Gui	43E9255D-31EB-42A5-BC68-F70F3745E4BA	1	1	1	672
9669C965-2EFB-4F1C-9C75-57E044217083	[Выплаты АСП]->[Процессы]->[(х) - Выборочное закрытие месяца]->{Подготовка журнала}	{      var doc = context.CurrentDocument;            doc["Year"] = DateTime.Now.Year;      doc["Mont	43E9255D-31EB-42A5-BC68-F70F3745E4BA	1	1	1	508
6AA21A2E-4FA9-4885-8B76-49CAB535E06B	[Выплаты АСП]->[Процессы]->[***Печать банковского реестра на прекращение выплат]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	9A8C0BB4-8763-46AA-9B26-38385D7E65D3	1	1	1	6814
49736767-5884-4316-8877-8D6EE7B79CE2	[Выплаты АСП]->[Процессы]->[CSV Выгрузка реестра на прекращение выплат]->{Скрипт}	{       var DistrictTermPayDefId = new Guid("{520F7B37-8D62-43EA-A978-16743FBE454D}"); //Район банк.	4A918F20-D4D5-443F-A00E-AB7AA5B17245	1	1	2	5614
9ABF49F3-1977-487B-BDF5-67B163B30CCA	[Выплаты АСП]->[Процессы]->[Ввод номера банковского счета]->{Подготовка счета}	{      var bankAccountId = context.Get<Guid>("InputDocumentId");            var bankAccount = contex	A9D34053-9A25-4C81-8EB7-251CF933E043	1	1	1	198
AB3A3020-736A-4C8B-994C-AA6843695009	[Выплаты АСП]->[Процессы]->[Ввод номера банковского счета]->{Проверка введенного номера}	{      var accountNo = context.CurrentDocument["Account_No"];            System.Text.RegularExpressi	A9D34053-9A25-4C81-8EB7-251CF933E043	1	1	1	1339
A5C22B8C-E99D-4C30-9950-B6DA43010172	[Выплаты АСП]->[Процессы]->[Ввод номера банковского счета]->{Формирование уведомления о назначении АСП}	{      var assignmentNotificationDefId = new Guid("{C9DAC468-625A-4609-A92A-F0006F270928}");      va	A9D34053-9A25-4C81-8EB7-251CF933E043	1	1	1	457
871668A5-8E81-4122-ACCE-06A2AA221D3B	[Выплаты АСП]->[Процессы]->[Выгрузка банковского реестра на прекращение выплат]->{Скрипт}	using NPOI.SS.UserModel;  public static class PrintBankSheet  {      public static void Execute(Work	C84234F1-E2D6-4603-B8BC-22206C859A1B	1	1	2	9661
49740C15-8339-4303-9323-F3F4ED3530A2	[Выплаты АСП]->[Процессы]->[Выгрузка реестра о переназначении в CSV]->{Формирование запроса}	{      var NoticeOfReassignment = new Guid("{DBFF063F-FB7F-4BDD-94AF-B7DBFD4E4505}");      var bankA	14E433D9-B20C-44AB-9588-9A3EFEB0FF64	1	1	1	5526
6529435F-15BE-41DB-8FAD-CF9279782C94	[Выплаты АСП]->[Процессы]->[Выгрузка реестра о переназначении в Excel]->{Формирование запроса}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	5B476031-25B9-4125-AA9C-3EEFE264FCB6	1	1	1	9374
8E9E781F-A796-47FE-8041-8F7BB6113841	[Выплаты АСП]->[Процессы]->[Массовое закрытие месяца]->{Закрытие заявлений и сохранение месяца}	{        var doc = context.CurrentDocument;  //    var attr = doc.Get<DocListAttribute>("Closed_Appl	76CB0A5D-BCD3-49E8-BB8F-4E40E369ADE7	1	2	1	3884
FED15123-060D-4F33-A9EE-628CA359110B	[Выплаты АСП]->[Процессы]->[Массовое закрытие месяца]->{Подготовка журнала}	{      var doc = context.CurrentDocument;            doc["Year"] = DateTime.Now.Year;      doc["Mont	76CB0A5D-BCD3-49E8-BB8F-4E40E369ADE7	1	1	1	196
4B1EFAE7-915F-4FA4-91D3-59589830A996	[Выплаты АСП]->[Процессы]->[Массовое закрытие месяца]->{Подготовка запроса}	{      var doc = context.CurrentDocument;            var year = (int) doc["Year"];      var month = 	76CB0A5D-BCD3-49E8-BB8F-4E40E369ADE7	1	1	1	604
E251F7A4-E34B-4846-B8C9-9FCB4745BA73	[Выплаты АСП]->[Процессы]->[Отказать]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	58285871-4296-4790-AC71-B990C7AF2411	1	1	2	131
5C2420A3-378A-4175-8549-4F4069F97D8A	[Выплаты АСП]->[Процессы]->[Получить проходной балл КОН]->{Скрипт}	{      var ballDefId = new Guid("{E6133A73-23B7-4CCF-B144-5EF6A94308FA}");            var qb = new Q	37A23244-53B9-41D3-B409-6DF6CF9718DD	1	1	2	818
4F137F29-7B53-4B69-89E2-399E81558E36	[Выплаты АСП]->[Процессы]->[Прекращение с возвратом]->{Проверка}	{      var docRepo = context.Documents;      var sol = docRepo.LoadById((Guid)context["InputDocument	D53A2F8E-7DC0-4422-A818-F6775B927314	1	1	1	1307
823A9D65-2426-479D-9D4F-E929BBE50BC0	[Выплаты АСП]->[Процессы]->[Прекращение с возвратом]->{Расчитать результат к возврату и внести соответствующие изменения в документы}	{      var pCountMax = (int)context["PaymentCountMax"];      var notice = context.CurrentDocument;  	D53A2F8E-7DC0-4422-A818-F6775B927314	1	1	1	4460
6B11441C-BE64-4AB7-9921-FB602722C7C0	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[CSV Выгрузка реестра на оплату]->{Скрипт}	{      var paymentDefId = new Guid("{68667FBB-C149-4FB3-93AD-1BBCE3936B6E}");      var bankAccountDe	EBF31B0D-9BC4-4A49-92AA-8DC2AA771A21	1	1	2	5654
